SMILES,frequency
[1*]N,210
[5*]N,198
[1*]C(=O)C=O,192
[5*]c1ccccc1,108
[16*]c1ccccc1,96
[4*]N,96
[4*]C,72
[8*]C,72
[3*]c1ccccc1,60
[3*]OC,48
[4*]CC,48
[8*]c1ccccc1,42
[4*]NC,36
[14*]c1ccccn1,36
[5*]c1c(C)cccc1C,30
[4*]N(C)C,30
[8*]c1ccco1,24
[6*]C(=O)O,24
[3*]O,24
[5*]c1c(C)ccc2ccccc12,18
[4*]CCN,18
[5*]c1ccc(C)cc1,18
[16*]c1cccc(C)c1,18
[1*]C=O,12
[6*]C=O,12
[5*]c1cccc2ccccc12,12
[8*]CC,12
[6*]C1CCCN1,12
[4*]CC(=O)O,12
[6*]C(=O)CC=O,12
[6*]c1ccccc1,12
[5*]c1c(C)cc(O)cc1C,12
[8*]c1cccc2ccccc12,12
[16*]c1c(O)ccc2ccccc12,12
[6*]c1ccccn1,12
[3*]c1ccnc2c1ccc1cccnc12,12
[5*]NC,12
[5*]C1CCCCC1,12
[6*]c1cccc(=O)[nH]1,6
[16*]c1ccc2ccccc2c1,6
[1*]C(=O)C(=O)O,6
[8*]c1ccccn1,6
[6*]c1ccc[nH]1,6
[6*]C(N)=O,6
[6*]c1cnccn1,6
[4*]CCO,6
[4*]CCCC,6
